task_name,input_file_name,city
LOCALITY,locality.mp3,DELHI
Sainik Farm,sainik_farm.mp3,DELHI
Adchini,adchini.mp3,DELHI
Shadipur,shadipur.mp3,DELHI
Dwarka Sector 7,dwarka_sector_7.mp3,DELHI
Dwarka Sector 6,dwarka_sector_6.mp3,DELHI
Shakarpur,shakarpur.mp3,DELHI
Kakrola,kakrola.mp3,DELHI
Katwaria Sarai,katwaria_sarai.mp3,DELHI
Dwarka Sector 3,dwarka_sector_3.mp3,DELHI
Tughlakabad,tughlakabad.mp3,DELHI
Babarpur,babarpur.mp3,DELHI
Jhilmil Colony,jhilmil_colony.mp3,DELHI
Matiala,matiala.mp3,DELHI
Hastsal,hastsal.mp3,DELHI
GTB Enclave,gtb_enclave.mp3,DELHI
Mustafabad,mustafabad.mp3,DELHI
Dwarka Sector 5,dwarka_sector_5.mp3,DELHI
Jamia Nagar,jamia_nagar.mp3,DELHI
Vivek Vihar,vivek_vihar.mp3,DELHI
Sunlight Colony,sunlight_colony.mp3,DELHI
Seelampur,seelampur.mp3,DELHI
Shakti Nagar,shakti_nagar.mp3,DELHI
Sarai Rohilla,sarai_rohilla.mp3,DELHI
Lodi Colony,lodi_colony.mp3,DELHI
Timarpur,timarpur.mp3,DELHI
Wazirpur,wazirpur.mp3,DELHI
Sukhdev Vihar,sukhdev_vihar.mp3,DELHI
Sarojini Nagar,sarojini_nagar.mp3,DELHI
Sidhartha Nagar,sidhartha_nagar.mp3,DELHI
Mayur Vihar Phase 1,mayur_vihar_phase_1.mp3,DELHI
Yusuf Sarai,yusuf_sarai.mp3,DELHI
Ashok Vihar,ashok_vihar.mp3,DELHI
Mayur Vihar Phase 3,mayur_vihar_phase_3.mp3,DELHI
Vikas Kunj,vikas_kunj.mp3,DELHI
Sultanpuri,sultanpuri.mp3,DELHI
Razapur Khurd,razapur_khurd.mp3,DELHI
Sarita Vihar,sarita_vihar.mp3,DELHI
Dwarka Sector-10,dwarka_sector-10.mp3,DELHI
