task_name,input_file_name,city
New Shiva Ji Nagar,new_shiva_ji_nagar.mp3,JALANDHAR
NEW SHIVAJI NAGAR,new_shivaji_nagar.mp3,JALANDHAR
New Sodal Nagar,new_sodal_nagar.mp3,JALANDHAR
NEW SUBHASH NAGAR,new_subhash_nagar.mp3,JALANDHAR
New Kailash Nagar,new_kailash_nagar.mp3,JALANDHAR
New Sudhama Vihar,new_sudhama_vihar.mp3,JALANDHAR
NEW UJJALA NAGAR,new_ujjala_nagar.mp3,JALANDHAR
New Upkar Nagar,new_upkar_nagar.mp3,JALANDHAR
New Upkar Nargar,new_upkar_nargar.mp3,JALANDHAR
New Vivek Nagar,new_vivek_nagar.mp3,JALANDHAR
New Vikaspuri,new_vikaspuri.mp3,JALANDHAR
New Suraj Ganj,new_suraj_ganj.mp3,JALANDHAR
Nijatam Nagar,nijatam_nagar.mp3,JALANDHAR
NIJATAM NAGAR,nijatam_nagar.mp3,JALANDHAR
Nirankari Bhawan Gali,nirankari_bhawan_gali.mp3,JALANDHAR
Nive Passe Bhargo Nagar,nive_passe_bhargo_nagar.mp3,JALANDHAR
Nivi Abadi,nivi_abadi.mp3,JALANDHAR
Nurpur Colony,nurpur_colony.mp3,JALANDHAR
Niwan Suraj Gunj,niwan_suraj_gunj.mp3,JALANDHAR
New Shital Nagar,new_shital_nagar.mp3,JALANDHAR
OFFICER ENCLAVE,officer_enclave.mp3,JALANDHAR
Old Beant Nagar,old_beant_nagar.mp3,JALANDHAR
OLD BARADARI,old_baradari.mp3,JALANDHAR
Old Dashmesh Nagar,old_dashmesh_nagar.mp3,JALANDHAR
Old Dusshara Ground,old_dusshara_ground.mp3,JALANDHAR
New Vinay Nagar,new_vinay_nagar.mp3,JALANDHAR
Old Green Avenue,old_green_avenue.mp3,JALANDHAR
Old Jawahar Nagar,old_jawahar_nagar.mp3,JALANDHAR
Old Kaki Pind,old_kaki_pind.mp3,JALANDHAR
P & T Colony,p_&_t_colony.mp3,JALANDHAR
Old Shastri Nagar,old_shastri_nagar.mp3,JALANDHAR
P.A.P,p.a.p.mp3,JALANDHAR
P&T Colony,p&t_colony.mp3,JALANDHAR
Old Hoshiarpur Road,old_hoshiarpur_road.mp3,JALANDHAR
Pacca Bagh,pacca_bagh.mp3,JALANDHAR
Panch Rattan Colony,panch_rattan_colony.mp3,JALANDHAR
Panch Sheel Colony,panch_sheel_colony.mp3,JALANDHAR
Panj Peer Chowk,panj_peer_chowk.mp3,JALANDHAR
Panchsheel Colony,panchsheel_colony.mp3,JALANDHAR
Panj Peer Colony,panj_peer_colony.mp3,JALANDHAR
PANJPEER,panjpeer.mp3,JALANDHAR
Panu Vihar,panu_vihar.mp3,JALANDHAR
New Kailash Nagar Ext.,new_kailash_nagar_ext..mp3,JALANDHAR
Paras Estate,paras_estate.mp3,JALANDHAR
Paragpura ( Old Phagwara Road),paragpura_(_old_phagwara_road).mp3,JALANDHAR
Park Avenue,park_avenue.mp3,JALANDHAR
Parbhat Nagar,parbhat_nagar.mp3,JALANDHAR
